section_links
&rlm;[[:Athlon]]&rlm; (hu)	Athlon
[[:מחלקה (תורת החבורות)]] (de ru)	מחלקה (תורת החבורות)
[[:יהדות רבנית]] (cs)	יהדות רבנית
[[:מרינול]] (de en hu)	מרינול
[[:הגנה ברלינאית]] (en)	הגנה ברלינאית
[[:בס מהלך]] (en)	בס מהלך
[[:מקונדו]] (it)	מקונדו
[[:כ"ט בנובמבר]] (en)	כ"ט בנובמבר
[[:אנטיביוזה]] (pt)	אנטיביוזה
[[:קוקה-קולה]] (da)	קוקה-קולה
[[:משקה חריף]] (de)	משקה חריף
[[:אריק קרטמן]] (de)	אריק קרטמן
[[:ננדו מצוי]] (ja)	ננדו מצוי
[[:קבוצה דלילה]] (de ru)	קבוצה דלילה
&rlm;[[:UTF-8]]&rlm; (fi)	UTF-8
[[:טריודה]] (de it sv)	טריודה
[[:כתיב חסר ניקוד]] (ar)	כתיב חסר ניקוד
[[:חד קוטביות]] (en)	חד קוטביות
&rlm;[[:אלף 0]]&rlm; (en)	אלף 0
[[:החי של ארץ ישראל]] (en)	החי של ארץ ישראל
[[:ועדת העיון מחדש ברשומות הנוגעות להתנקשות]] (en)	ועדת העיון מחדש ברשומות הנוגעות להתנקשות
[[:נקודת הטל]] (sv)	נקודת הטל
[[:קל וחומר]] (sk)	קל וחומר
[[:נוסחת ההיפוך של מביוס]] (ru)	נוסחת ההיפוך של מביוס
[[:קוסינוס]] (no)	קוסינוס
[[:כפל מטריצות]] (de)	כפל מטריצות
[[:שחלוף (מתמטיקה)]] (de)	שחלוף (מתמטיקה)
[[:המשפט היסודי של האריתמטיקה]] (de)	המשפט היסודי של האריתמטיקה
[[:הקדרים באים]] (de)	הקדרים באים
[[:טנגנס]] (no)	טנגנס
[[:אנטי-נייטרינו]] (en)	אנטי-נייטרינו
[[:דגירה]] (sv)	דגירה
[[:ביסמרק (פירושונים)]] (nn)	ביסמרק (פירושונים)
[[:פונקציה אנליטית]] (pl)	פונקציה אנליטית
[[:תשובה]] (de)	תשובה
[[:אלבוס דמבלדור]] (de ml)	אלבוס דמבלדור
[[:איוה איקוקו טוג'ורי]] (ja)	איוה איקוקו טוג'ורי
[[:רעם]] (ja)	רעם
[[:פירמידה (גאומטריה)]] (it)	פירמידה (גאומטריה)
[[:מכתבי אל-עמארנה]] (it)	מכתבי אל-עמארנה
[[:חייל]] (fr)	חייל
[[:צפון]] (da)	צפון
[[:שלשה פיתגורית]] (no)	שלשה פיתגורית
[[:ממסר פחת]] (fr ja)	ממסר פחת
[[:דגל סרביה ומונטנגרו]] (de)	דגל סרביה ומונטנגרו
[[:החתמה]] (sk)	החתמה
[[:השלמה לריבוע]] (ja)	השלמה לריבוע
[[:חול מזמר]] (de)	חול מזמר
[[:סולם מוס]] (de)	סולם מוס
[[:היראגאנה]] (sv)	היראגאנה
[[:לגולס]] (de)	לגולס
[[:שדה המספרים המרוכבים]] (en)	שדה המספרים המרוכבים
[[:תוכנית בזל]] (en)	תוכנית בזל
[[:פאה נכרית]] (hu)	פאה נכרית
[[:היסטוריה של הסוציאליזם]] (ja)	היסטוריה של הסוציאליזם
[[:הרמת משקולות]] (ang)	הרמת משקולות
[[:מטריצה חיובית]] (de)	מטריצה חיובית
[[:תפוח]] (de)	תפוח
[[:האחדה]] (sv)	האחדה
[[:רון ויזלי]] (de)	רון ויזלי
[[:הויגנס (גשושית)]] (it)	הויגנס (גשושית)
[[:מכינה קדם-צבאית]] (de)	מכינה קדם-צבאית
[[:היסטוריה של לבנון]] (bg ca el hr hu it ja li ms no sh sl sr ur)	היסטוריה של לבנון
&rlm;[[:וורהאמר 40,000]]&rlm; (no)	וורהאמר 40,000
[[:מעלה]] (hu)	מעלה
[[:שערי ירושלים]] (en)	שערי ירושלים
[[:ארמון החורף]] (de)	ארמון החורף
[[:החוק הראשון של התרמודינמיקה]] (de)	החוק הראשון של התרמודינמיקה
[[:ונציה הקטנה]] (en)	ונציה הקטנה
[[:אד הומינם]] (eo)	אד הומינם
[[:מרחב פשוט קשר]] (de)	מרחב פשוט קשר
[[:גאוגרפיה של מונגוליה]] (bn)	גאוגרפיה של מונגוליה
[[:פוליטיקה של מונגוליה]] (bn)	פוליטיקה של מונגוליה
[[:ארתור]] (sv)	ארתור
[[:פרודו בגינס]] (de simple)	פרודו בגינס
[[:שלום וסטפליה]] (hu)	שלום וסטפליה
[[:שבט יהודה]] (ca)	שבט יהודה
[[:לוגריתם טבעי]] (de)	לוגריתם טבעי
[[:מפסק אוטומטי מגנטי תרמי]] (fi)	מפסק אוטומטי מגנטי תרמי
[[:ממלכת ישראל]] (fj)	ממלכת ישראל
[[:משפט הערך הממוצע של קושי]] (en)	משפט הערך הממוצע של קושי
[[:זהות אוילר]] (pl)	זהות אוילר
[[:לנגבורן (נהר)]] (en pt)	לנגבורן (נהר)
[[:היסטוריה של האימפריה העות'מאנית]] (en)	היסטוריה של האימפריה העות'מאנית
[[:מספר דמוי משוכלל]] (de)	מספר דמוי משוכלל
[[:הספק חשמלי]] (da et sv)	הספק חשמלי
[[:החתים במקרא]] (pt)	החתים במקרא
[[:שוק גריניץ']] (en)	שוק גריניץ'
[[:כיבוש ארצות (משחק ילדים)]] (ru)	כיבוש ארצות (משחק ילדים)
[[:אן דן דינו]] (eo)	אן דן דינו
[[:סטפן הראשון]] (eo)	סטפן הראשון
&rlm;[[:SOS]]&rlm; (de)	SOS
[[:בלדת רוק]] (en)	בלדת רוק
[[:עוגיפלצת]] (de)	עוגיפלצת
[[:פיזיקה של מצב מוצק]] (de)	פיזיקה של מצב מוצק
[[:מערכת צירים קרטזית]] (fi)	מערכת צירים קרטזית
[[:קלורימטר]] (ja)	קלורימטר
[[:אינדונזית]] (de)	אינדונזית
[[:שחבור חליפי]] (fr it)	שחבור חליפי
[[:הצבא של בני הזולו]] (en)	הצבא של בני הזולו
[[:נאנומטר]] (cs)	נאנומטר
[[:דיאז]] (fi)	דיאז
[[:קבוצת בורל]] (el)	קבוצת בורל
[[:יוון העות'מאנית]] (el sv)	יוון העות'מאנית
[[:קרב קרקר]] (de)	קרב קרקר
[[:גולום]] (de)	גולום
[[:פוליטיקה של תימן]] (bn)	פוליטיקה של תימן
[[:לואי השני]] (de)	לואי השני
[[:גאליה קיסאלפינה]] (es)	גאליה קיסאלפינה
[[:ממיר קטליטי]] (fi)	ממיר קטליטי
[[:הטיעון האונטולוגי]] (de)	הטיעון האונטולוגי
[[:אולפני הוליווד של דיסני]] (pt)	אולפני הוליווד של דיסני
[[:צוללן]] (en)	צוללן
[[:למת הניפוח לשפות רגולריות]] (de)	למת הניפוח לשפות רגולריות
[[:אוטומט סופי לא דטרמיניסטי]] (nl)	אוטומט סופי לא דטרמיניסטי
[[:הבורג]] (de sv)	הבורג
[[:איגנורטיו אלנכי]] (nl)	איגנורטיו אלנכי
&rlm;[[:RTFM]]&rlm; (de)	RTFM
[[:לוחות הברית]] (de)	לוחות הברית
[[:התפלגות בדידה]] (en)	התפלגות בדידה
[[:התפלגות אחידה]] (su)	התפלגות אחידה
[[:חיוניות מטעה]] (zh)	חיוניות מטעה
[[:טיעון מן הנס]] (en)	טיעון מן הנס
[[:לימפוציט]] (ja)	לימפוציט
[[:פוסט הוק ארגו פרופטר הוק]] (de)	פוסט הוק ארגו פרופטר הוק
[[:קאטאקאנה]] (sv)	קאטאקאנה
&rlm;[[:3DES]]&rlm; (de)	3DES
[[:לקות שמיעה]] (sl)	לקות שמיעה
[[:טחנת רוח]] (es)	טחנת רוח
[[:אליעזר עבד אברהם]] (en fr it pt yi)	אליעזר עבד אברהם
[[:ג'י]] (ca fi hu ja la simple sl sv)	ג'י
[[:סוגי טנקים]] (zh)	סוגי טנקים
[[:אפיפיורים]] (nn)	אפיפיורים
[[:בילבו בגינס]] (de simple)	בילבו בגינס
[[:כשל הכוונה]] (en)	כשל הכוונה
[[:נושא הטבעת]] (en)	נושא הטבעת
[[:גנדאלף]] (de simple)	גנדאלף
[[:מריאדוק ברנדיבאק]] (de)	מריאדוק ברנדיבאק
[[:מחלוקת החישוב הכלכלי]] (fr)	מחלוקת החישוב הכלכלי
[[:טיפוס הרים]] (sv)	טיפוס הרים
[[:החוק השני של התרמודינמיקה]] (de)	החוק השני של התרמודינמיקה
[[:יריד]] (de)	יריד
[[:לילנגני]] (ss)	לילנגני
[[:ג'ודוקא]] (en)	ג'ודוקא
[[:גונדור]] (de)	גונדור
[[:נבדל]] (cs)	נבדל
[[:התניה אופרנטית]] (ru)	התניה אופרנטית
[[:רוק (מיתולוגיה)]] (zh)	רוק (מיתולוגיה)
[[:תסמונת קליינפלטר]] (ro)	תסמונת קליינפלטר
[[:פונקציה רקורסיבית]] (ru)	פונקציה רקורסיבית
[[:היימדייל]] (hu)	היימדייל
[[:שריון קשקשים]] (cs)	שריון קשקשים
[[:פיליפ השני]] (de)	פיליפ השני
[[:סופרפוזיציה]] (sk)	סופרפוזיציה
[[:צורת היקום]] (zh)	צורת היקום
[[:בדיחה פנימית]] (de sv)	בדיחה פנימית
[[:מונו]] (ja)	מונו
[[:סיריוס בלק]] (de en fi ka lt tr vi)	סיריוס בלק
[[:משקל (פיזיקה)]] (vi)	משקל (פיזיקה)
[[:פקעיות טעם]] (fr)	פקעיות טעם
[[:כוכב הגאולה]] (en)	כוכב הגאולה
[[:כל נדרי]] (it)	כל נדרי
[[:מונופילטיות]] (de)	מונופילטיות
[[:מיקום התנועות]] (en)	מיקום התנועות
[[:גובה תנועות]] (en)	גובה תנועות
[[:במול]] (fi)	במול
[[:מינאס טירית]] (de la)	מינאס טירית
[[:אוסגיליאת]] (de en la simple)	אוסגיליאת
[[:גיל-גאלאד]] (de pl)	גיל-גאלאד
[[:בני לילית (הארץ התיכונה)]] (de)	בני לילית (הארץ התיכונה)
[[:מוקש ימי]] (no)	מוקש ימי
[[:דאגור-נואין-גיליאת]] (fr)	דאגור-נואין-גיליאת
[[:דאגור אגלארב]] (fr)	דאגור אגלארב
[[:דאגור בראגולאך]] (fr)	דאגור בראגולאך
[[:הממלכה החתית הקדומה]] (en)	הממלכה החתית הקדומה
[[:סוורוס סנייפ]] (de)	סוורוס סנייפ
[[:אנטי-גלובליזציה]] (zh)	אנטי-גלובליזציה
[[:הארי פוטר והאסיר מאזקבאן (סרט)]] (ja)	הארי פוטר והאסיר מאזקבאן (סרט)
&rlm;[[:The Elder Scrolls: Morrowind]]&rlm; (de)	The Elder Scrolls: Morrowind
[[:שילוב (שר הטבעות)]] (de simple)	שילוב (שר הטבעות)
[[:הקרע המערבי]] (da)	הקרע המערבי
[[:השיתוף האנגליקני]] (cs)	השיתוף האנגליקני
[[:לוק סקייווקר]] (de)	לוק סקייווקר
[[:היקום במיתולוגיה הנורדית]] (el)	היקום במיתולוגיה הנורדית
[[:דמיון משולשים]] (en)	דמיון משולשים
[[:מחזור החיים של כוכב]] (fi)	מחזור החיים של כוכב
[[:יחס הפוך]] (en)	יחס הפוך
[[:אראגורן]] (de simple)	אראגורן
[[:תורת הגמול]] (en)	תורת הגמול
[[:לימוזינה]] (fr)	לימוזינה
&rlm;[[:R2-D2]]&rlm; (de)	R2-D2
[[:פאי (מאפה)]] (es)	פאי (מאפה)
[[:ג'ורג']] (sv)	ג'ורג'
[[:בית סטארק]] (en fr)	בית סטארק
[[:אלבום]] (de)	אלבום
[[:מחויאל]] (en)	מחויאל
[[:מתושאל]] (en)	מתושאל
[[:צלה]] (en)	צלה
[[:חמשת המונומנטים]] (fr)	חמשת המונומנטים
[[:עדה (דמות מקראית)]] (en)	עדה (דמות מקראית)
[[:מאורעות תל חי]] (en)	מאורעות תל חי
[[:זפירוס]] (en)	זפירוס
[[:אובי ואן קנובי]] (de)	אובי ואן קנובי
[[:דייב פרל]] (en)	דייב פרל
[[:יורוס]] (en es)	יורוס
[[:ג'יני ויזלי]] (cs de en fr vi)	ג'יני ויזלי
[[:החיים, היקום וכל השאר]] (pl)	החיים, היקום וכל השאר
[[:המהפכה הנאוליתית]] (sv)	המהפכה הנאוליתית
[[:התכנסות נקודתית]] (hu)	התכנסות נקודתית
[[:הארי פוטר וגביע האש (סרט)]] (ja)	הארי פוטר וגביע האש (סרט)
[[:בורומיר]] (de simple)	בורומיר
[[:ריבת חלב]] (ru uk)	ריבת חלב
[[:תלייה]] (simple)	תלייה
[[:מלחמת נומנטיה]] (it)	מלחמת נומנטיה
&rlm;[[:משבר מטוס הריגול U-2]]&rlm; (fi)	משבר מטוס הריגול U-2
[[:תוספות למגילת אסתר]] (en)	תוספות למגילת אסתר
[[:כנען (דמות מקראית)]] (ca)	כנען (דמות מקראית)
[[:הרחבה ספרבילית]] (de)	הרחבה ספרבילית
[[:ניאוף]] (nl)	ניאוף
[[:חוק פאראדיי]] (de)	חוק פאראדיי
[[:יהדות אינדונזיה]] (id)	יהדות אינדונזיה
[[:הבליץ]] (nl)	הבליץ
[[:פוליטיקה של תאילנד]] (bn)	פוליטיקה של תאילנד
[[:אזכרה]] (en)	אזכרה
&rlm;[[:בלוז 12 תיבות]]&rlm; (de)	בלוז 12 תיבות
[[:קיטיארה אות-מאטר]] (en)	קיטיארה אות-מאטר
[[:שער המאה]] (en)	שער המאה
[[:טירן (טנק)]] (en)	טירן (טנק)
[[:זעזוע מוח]] (fr)	זעזוע מוח
[[:חוק יובש]] (de)	חוק יובש
[[:ארנור]] (de)	ארנור
[[:תשחץ]] (fr)	תשחץ
[[:מיתוג מעגלים]] (it)	מיתוג מעגלים
&rlm;[[:גלוק 17]]&rlm; (en)	גלוק 17
[[:מסלול גאוסטציונרי]] (de)	מסלול גאוסטציונרי
[[:הארי פוטר ומסדר עוף החול (סרט)]] (ja)	הארי פוטר ומסדר עוף החול (סרט)
[[:קווסאקי (אופנועים)]] (fr)	קווסאקי (אופנועים)
[[:קואורדינטות כדוריות]] (fi it)	קואורדינטות כדוריות
[[:קואורדינטות גליליות]] (de fi ja ro)	קואורדינטות גליליות
[[:מורדור]] (de simple)	מורדור
[[:מינאס מורגול]] (de hu simple)	מינאס מורגול
[[:קרפדה מתפוצצת]] (en)	קרפדה מתפוצצת
[[:קופת חיסכון]] (da)	קופת חיסכון
[[:קריירה]] (ja)	קריירה
[[:כרטיס אדום]] (en es sl)	כרטיס אדום
[[:דחיסה מאבדת נתונים]] (fr)	דחיסה מאבדת נתונים
[[:יזכור]] (en)	יזכור
[[:שינה זעירה]] (sv)	שינה זעירה
[[:קרט (יחידת טוהר)]] (pl)	קרט (יחידת טוהר)
[[:טאוטולוגיה]] (hu)	טאוטולוגיה
[[:ברירה זוויגית]] (sv)	ברירה זוויגית
[[:דראקו מאלפוי]] (de)	דראקו מאלפוי
[[:משולש שווה-צלעות]] (pt)	משולש שווה-צלעות
[[:ספורט ברומא העתיקה]] (en)	ספורט ברומא העתיקה
[[:הזכות לפרטיות]] (sv)	הזכות לפרטיות
[[:רטיקולוציט]] (de)	רטיקולוציט
[[:בדיקות נסיגה]] (it)	בדיקות נסיגה
[[:רייסטלין מאז'ר]] (en)	רייסטלין מאז'ר
[[:ריבה]] (en)	ריבה
[[:פרוטוס]] (en fi sv)	פרוטוס
[[:טליתא קומי]] (en)	טליתא קומי
[[:זרג]] (en it ko sv)	זרג
[[:טראן]] (en ko sv)	טראן
[[:דגש חזק]] (ca en)	דגש חזק
[[:מצולע משוכלל]] (de)	מצולע משוכלל
[[:סית']] (de)	סית'
[[:אנדוציטוזה]] (de)	אנדוציטוזה
[[:מדיניות לשונית בישראל]] (bn)	מדיניות לשונית בישראל
[[:למידת הימנעות]] (en)	למידת הימנעות
[[:הארי פוטר וחדר הסודות (סרט)]] (ja)	הארי פוטר וחדר הסודות (סרט)
[[:ארוחת צהריים]] (fr)	ארוחת צהריים
[[:מות המחבר]] (es fr)	מות המחבר
[[:מעבר רפיח]] (en)	מעבר רפיח
[[:ניילון]] (de)	ניילון
[[:שבט זבולון]] (ca)	שבט זבולון
[[:אטלן]] (de)	אטלן
[[:באקה אל-גרבייה]] (de)	באקה אל-גרבייה
[[:סטרדיוואריוס]] (de)	סטרדיוואריוס
[[:פיק אפ (מוזיקה)]] (de)	פיק אפ (מוזיקה)
[[:מעגל קלווין]] (fi)	מעגל קלווין
&rlm;[[:Bootstrapping]]&rlm; (en)	Bootstrapping
[[:משפט שטיינר]] (fr)	משפט שטיינר
[[:הקוסם מארץ ים]] (sv)	הקוסם מארץ ים
[[:דוקטור זוידברג]] (cs)	דוקטור זוידברג
[[:רעף]] (en)	רעף
[[:בית לאניסטר]] (en)	בית לאניסטר
[[:רובאוס האגריד]] (de fr tr)	רובאוס האגריד
[[:תזת צ'רץ'-טיורינג]] (lt)	תזת צ'רץ'-טיורינג
[[:אלגוריתם גנטי]] (sv)	אלגוריתם גנטי
[[:אם]] (ca el eu fi fur gl hu la nn simple sl sv sw)	אם
[[:הגל השני של הפמיניזם]] (de)	הגל השני של הפמיניזם
[[:דה יורה]] (fr)	דה יורה
[[:תצפית משתתפת]] (pl)	תצפית משתתפת
[[:מדף (פירושונים)]] (de)	מדף (פירושונים)
[[:מטה אסקלפיוס]] (no)	מטה אסקלפיוס
[[:ערב חג המולד]] (da)	ערב חג המולד
[[:פאדמה אמידאלה]] (de)	פאדמה אמידאלה
[[:רומאג'י]] (de)	רומאג'י
[[:פיתיה]] (es)	פיתיה
[[:הארי פוטר והנסיך חצוי-הדם (סרט)]] (ja)	הארי פוטר והנסיך חצוי-הדם (סרט)
&rlm;[[:FXO]]&rlm; (en)	FXO
[[:אנרגיה שאובה]] (it)	אנרגיה שאובה
[[:מבצע בן נון א']] (en fr)	מבצע בן נון א'
[[:סטטלר ווולדורף]] (de)	סטטלר ווולדורף
&rlm;[[:FHSS]]&rlm; (ja)	FHSS
[[:חסידות גורליץ]] (en)	חסידות גורליץ
[[:ארמון טרוקדרו הישן]] (en)	ארמון טרוקדרו הישן
[[:מצביע]] (sv)	מצביע
[[:מיהו יהודי]] (cs)	מיהו יהודי
&rlm;[[:סופר סמאש ברוס (N64)]]&rlm; (de)	סופר סמאש ברוס (N64)
[[:הפייטה הפלורנטינית]] (ja)	הפייטה הפלורנטינית
[[:ביטול פעיל]] (en)	ביטול פעיל
[[:איסטרי]] (pl)	איסטרי
[[:מיון הכנסה]] (no)	מיון הכנסה
[[:פלגיוקלז]] (de)	פלגיוקלז
[[:מיומנות (מבוכים ודרקונים)]] (en)	מיומנות (מבוכים ודרקונים)
[[:איבר יחידה]] (fa)	איבר יחידה
[[:סוויפס]] (en)	סוויפס
[[:ארץ לעולם לא]] (da de)	ארץ לעולם לא
[[:טינקרבל]] (da)	טינקרבל
[[:מארז תקליטורים]] (ru)	מארז תקליטורים
[[:הדרך לגיהנום רצופה כוונות טובות]] (de)	הדרך לגיהנום רצופה כוונות טובות
[[:כישרון (מבוכים ודרקונים)]] (en)	כישרון (מבוכים ודרקונים)
[[:הנילוס הלבן]] (de)	הנילוס הלבן
[[:מומנט כפיפה]] (ja)	מומנט כפיפה
[[:חוק בויל-מריוט]] (de)	חוק בויל-מריוט
[[:פונקציה פרימיטיבית רקורסיבית]] (uk)	פונקציה פרימיטיבית רקורסיבית
[[:לייזרדיסק]] (el)	לייזרדיסק
[[:היסטוריה של סינגפור]] (bn)	היסטוריה של סינגפור
[[:עקרון התחלופה]] (en)	עקרון התחלופה
[[:מיון בסיס]] (no)	מיון בסיס
[[:מרחב (מתמטיקה)]] (da es fr gl ko)	מרחב (מתמטיקה)
[[:קלע סער]] (hu)	קלע סער
[[:הכוח (מלחמת הכוכבים)]] (de)	הכוח (מלחמת הכוכבים)
[[:תפילת שחרית של שבת]] (en)	תפילת שחרית של שבת
[[:טור טיילור]] (pl)	טור טיילור
&rlm;[[:KSVCD]]&rlm; (en)	KSVCD
[[:דת' מטאל ברוטאלי]] (en)	דת' מטאל ברוטאלי
[[:איסילדור]] (de)	איסילדור
[[:משפט טרסקי]] (fr)	משפט טרסקי
[[:עינו של הגולם]] (ru)	עינו של הגולם
[[:בית הכנסת חסדאל]] (en)	בית הכנסת חסדאל
[[:נאו-ליברליזם]] (cs)	נאו-ליברליזם
[[:רוח צ'ינוק]] (ml)	רוח צ'ינוק
[[:אוסקר (רחוב סומסום)]] (de)	אוסקר (רחוב סומסום)
[[:אפקט מהרישי]] (en)	אפקט מהרישי
[[:כוראה]] (de)	כוראה
[[:מרחב דואלי]] (pl)	מרחב דואלי
[[:מוצא הרומנים]] (de)	מוצא הרומנים
[[:יער צלב הקרס]] (de)	יער צלב הקרס
&rlm;[[:Songs of Faith and Devotion Live]]&rlm; (es)	Songs of Faith and Devotion Live
[[:משפט אזרחי]] (de)	משפט אזרחי
[[:דגל אולדרני]] (de)	דגל אולדרני
[[:אור-קוואן]] (en)	אור-קוואן
[[:כפית]] (de)	כפית
[[:מאנו]] (fr)	מאנו
[[:היסטוריה של המתמטיקה]] (as)	היסטוריה של המתמטיקה
[[:האסלאם השחור]] (en)	האסלאם השחור
[[:מזל]] (de)	מזל
[[:נומנור]] (de)	נומנור
[[:בית אוליפנט]] (en)	בית אוליפנט
[[:אדריכלות גותית]] (de)	אדריכלות גותית
[[:עצמאות ברזיל]] (it)	עצמאות ברזיל
[[:התריסריים]] (ur)	התריסריים
[[:שאהריאר]] (en)	שאהריאר
[[:גאוגרפיה של אירופה]] (ru)	גאוגרפיה של אירופה
[[:מלחמת הבלקן השנייה]] (nl)	מלחמת הבלקן השנייה
[[:פרננדו השני]] (de eo)	פרננדו השני
[[:מבצע מכבי]] (en fr)	מבצע מכבי
[[:הולופוינט]] (ja)	הולופוינט
[[:צמר גפן]] (en)	צמר גפן
[[:בית טארגאריין]] (en fr)	בית טארגאריין
[[:האן סולו]] (de)	האן סולו
&rlm;[[:הגבול של sin(x)/x]]&rlm; (de ru)	הגבול של sin(x)/x
[[:אמנות מוסלמית]] (tr)	אמנות מוסלמית
[[:מינרווה מקגונגל]] (ca cs da de en fr lt pl vi)	מינרווה מקגונגל
[[:בטון דרוך]] (fr sv)	בטון דרוך
[[:הכס הקדוש]] (hu)	הכס הקדוש
