invalid_date
[[:ארבע רשויות השבת]]	ארבע רשויות השבת
[[:אום חשיבה (בסיס)]]	אום חשיבה (בסיס)
[[:קטגוריה:סגל האוניברסיטה העברית בירושלים: רפואה]]	סגל האוניברסיטה העברית בירושלים: רפואה
[[:קטגוריה:סגל האוניברסיטה העברית בירושלים: משפטים]]	סגל האוניברסיטה העברית בירושלים: משפטים
[[:קטגוריה:סגל האוניברסיטה העברית בירושלים: חקלאות, מזון וסביבה]]	סגל האוניברסיטה העברית בירושלים: חקלאות, מזון וסביבה
[[:קטגוריה:סגל האוניברסיטה העברית בירושלים: מדעי הרוח]]	סגל האוניברסיטה העברית בירושלים: מדעי הרוח
[[:קטגוריה:סגל האוניברסיטה העברית בירושלים: חינוך]]	סגל האוניברסיטה העברית בירושלים: חינוך
[[:קטגוריה:סגל האוניברסיטה העברית בירושלים: מתמטיקה ומדעי הטבע]]	סגל האוניברסיטה העברית בירושלים: מתמטיקה ומדעי הטבע
[[:צבא ארצות הברית במלחמת העולם השנייה (סדרת ספרים)]]	צבא ארצות הברית במלחמת העולם השנייה (סדרת ספרים)
[[:עקרון התכלילים והמרכיבים]]	עקרון התכלילים והמרכיבים
[[:פרטר]]	פרטר
[[:חיים מולכו]]	חיים מולכו
[[:קטגוריה:מנכ"לי אל על]]	מנכ"לי אל על
[[:קטגוריה:פיגועים נגד מטוסי אל על ומתקניה]]	פיגועים נגד מטוסי אל על ומתקניה
[[:מחנה יצחק]]	מחנה יצחק
[[:קטגוריה:בסיסי צה"ל ומוצביו ברמת הגולן]]	בסיסי צה"ל ומוצביו ברמת הגולן
[[:קטגוריה:בסיסי חיל האוויר המלכותי בארץ ישראל]]	בסיסי חיל האוויר המלכותי בארץ ישראל
[[:פאקיוס גארגיליוס אנטיקואוס]]	פאקיוס גארגיליוס אנטיקואוס
[[:גאולוגיה של הכרמל]]	גאולוגיה של הכרמל
[[:קטגוריה:ירוחם]]	ירוחם
&rlm;[[:לגו. מחנה ריכוז, 1996]]&rlm;	לגו. מחנה ריכוז, 1996
[[:מרכז איתור נעדרים]]	מרכז איתור נעדרים
[[:בתי הקברות לחללי אויב]]	בתי הקברות לחללי אויב
[[:המלון הסקוטי]]	המלון הסקוטי
&rlm;[[:הפשיטות הארטילריות בחזית הצפון (1973)]]&rlm;	הפשיטות הארטילריות בחזית הצפון (1973)
[[:החזית הירדנית במלחמת יום הכיפורים]]	החזית הירדנית במלחמת יום הכיפורים
[[:שמואל רשף]]	שמואל רשף
[[:האורוגנזה החיג'אזית]]	האורוגנזה החיג'אזית
[[:יגאל ארד]]	יגאל ארד
[[:סמסונס ריבס]]	סמסונס ריבס
[[:קטגוריה:אדולף היטלר: מפקדות]]	אדולף היטלר: מפקדות
[[:נפתלי הרץ הלוי]]	נפתלי הרץ הלוי
[[:אפריקה (מלחמת יום הכיפורים)]]	אפריקה (מלחמת יום הכיפורים)
[[:החצר (מלחמת יום הכיפורים)]]	החצר (מלחמת יום הכיפורים)
[[:איזור (גאולוגיה)]]	איזור (גאולוגיה)
[[:פסטיבל חיפה להצגות ילדים]]	פסטיבל חיפה להצגות ילדים
[[:מארב הקומנדו המצרי ברומני]]	מארב הקומנדו המצרי ברומני
[[:מוזיאון מאנה-כץ]]	מוזיאון מאנה-כץ
[[:הלוויית יצחק רבין]]	הלוויית יצחק רבין
[[:קטגוריה:אסירים במחנה הריכוז דכאו]]	אסירים במחנה הריכוז דכאו
[[:רונן דוד]]	רונן דוד
[[:הדיוויזיה המצרית השביעית]]	הדיוויזיה המצרית השביעית
[[:מעוות (גאולוגיה)]]	מעוות (גאולוגיה)
[[:ישוע בן חנניה]]	ישוע בן חנניה
[[:מה אברך]]	מה אברך
[[:קטגוריה:תעשיית החלב]]	תעשיית החלב
[[:קטגוריה:מחלבות]]	מחלבות
[[:יונה אליאן (רופא)]]	יונה אליאן (רופא)
[[:קטגוריה:חומות ירושלים]]	חומות ירושלים
[[:הפגזת דמשק על ידי תותחי צה"ל במלחמת יום הכיפורים]]	הפגזת דמשק על ידי תותחי צה"ל במלחמת יום הכיפורים
[[:אתר ההנצחה לימאי צי הסוחר שמקום קבורתם לא נודע]]	אתר ההנצחה לימאי צי הסוחר שמקום קבורתם לא נודע
[[:אנדרטת הארמדה הלאומית]]	אנדרטת הארמדה הלאומית
[[:בית הקברות הצבאי חוף כיאט]]	בית הקברות הצבאי חוף כיאט
&rlm;[[:קטגוריה:פעולות שייטת 13]]&rlm;	פעולות שייטת 13
[[:קטגוריה:ליגות כדוריד בישראל]]	ליגות כדוריד בישראל
[[:קטגוריה:תחרויות אתלטיקה בישראל]]	תחרויות אתלטיקה בישראל
[[:בית הקברות הצבאי אל-עלמיין]]	בית הקברות הצבאי אל-עלמיין
[[:קטגוריה:אנדרטאות לחיילי אוסטרליה]]	אנדרטאות לחיילי אוסטרליה
[[:קטגוריה:שחקנים בסרטי ג'יימס בונד]]	שחקנים בסרטי ג'יימס בונד
[[:קטגוריה:ענפי ספורט מים]]	ענפי ספורט מים
[[:קטגוריה:אסירים במחנות ריכוז]]	אסירים במחנות ריכוז
[[:קטגוריה:ניסויים רפואיים בבני אדם בתקופת השואה]]	ניסויים רפואיים בבני אדם בתקופת השואה
[[:קטגוריה:אסירים במחנה הריכוז ראוונסבריק]]	אסירים במחנה הריכוז ראוונסבריק
[[:קטגוריה:מדינות חצי האי ערב]]	מדינות חצי האי ערב
[[:קטגוריה:פינלנד במלחמת העולם השנייה]]	פינלנד במלחמת העולם השנייה
[[:קטגוריה:צנחני היישוב ביוגוסלביה]]	צנחני היישוב ביוגוסלביה
[[:קטגוריה:הודו במלחמת העולם הראשונה]]	הודו במלחמת העולם הראשונה
[[:קטגוריה:אופתלמולוגים ישראלים]]	אופתלמולוגים ישראלים
[[:קטגוריה:רופאי ילדים ישראלים]]	רופאי ילדים ישראלים
[[:קטגוריה:רופאים ישראלים לפי התמחות]]	רופאים ישראלים לפי התמחות
[[:קטגוריה:קרדיולוגים ישראלים]]	קרדיולוגים ישראלים
[[:קטגוריה:רופאים פנימיים ישראלים]]	רופאים פנימיים ישראלים
[[:קטגוריה:רופאי משפחה]]	רופאי משפחה
[[:קטגוריה:גינקולוגים ישראלים]]	גינקולוגים ישראלים
[[:קטגוריה:אפידמיולוגים ישראלים]]	אפידמיולוגים ישראלים
[[:קטגוריה:כירורגים פלסטיים ישראלים]]	כירורגים פלסטיים ישראלים
[[:קטגוריה:רופאי אף אוזן גרון ישראלים]]	רופאי אף אוזן גרון ישראלים
[[:תמר פרץ]]	תמר פרץ
[[:אנדרטת דנקרק]]	אנדרטת דנקרק
[[:שכר צבאי בארצות הברית במלחמת העולם השנייה]]	שכר צבאי בארצות הברית במלחמת העולם השנייה
[[:ג'ורג' ואקנין]]	ג'ורג' ואקנין
[[:מלון קרלטון תל אביב]]	מלון קרלטון תל אביב
[[:קטגוריה:אירופה: יערות]]	אירופה: יערות
